Heading,Paragraph,Link
"Assembly Elections 2021 Voting Live: West Bengal, Assam, Tamil Nadu, Kerala, Puducherry","Over 20 crore people from Assam, Bengal, Kerala, Tamil Nadu and Puducherry will vote in a mammoth electoral exercise today. For the latter three this is the first and only phase of polling. It is Assam's third and final, while Bengal has five more.",https://www.ndtv.com/india-news/assembly-elections-2021-voting-live-west-bengal-assam-tamil-nadu-kerala-puducherry-2406994
Kerala Votes Today As Left-Congress Revolving Door Meets BJP's Push,"In a state with a four-decades-old tradition of alternating between the two main coalitions every five years, will these elections buck the trend - that's the all-important question that more than 2.74 crore people in Kerala will get to decide today.",https://www.ndtv.com/kerala-news/kerala-election-today-as-ldf-udf-revolving-door-meets-bjps-push-2406908
Puducherry Votes For 30 Assembly Seats Today,"Puducherry will vote in a single phase for the 30 assembly seats going to polls today along with three other states -- Assam, Tamil Nadu and Kerala.",https://www.ndtv.com/india-news/puducherry-assembly-elections-2021-union-territory-votes-for-30-assembly-seats-in-single-phase-polls-today-2406905
"Assam Votes In Final Phase Today, Himanta Sarma Among Key Candidates",Voting for the third and last phase of the fiercely contested election to the legislative assembly in Assam will be held today. 40 seats are up for grabs in the final round of the fight to win as many of the 126 seats.,https://www.ndtv.com/india-news/assam-assembly-election-2021-assam-votes-in-final-phase-today-himanta-biswa-sarma-among-key-candidates-2406870
"In Tamil Nadu, EPS's Biggest Election Against DMK-Congress, Kamal Haasan","Tamil Nadu votes for a new government today in a single-phase Assembly election that pits Chief Minister Edapaddi K Palaniswami and his ruling AIADMK, which has allied with the BJP, against the MK-Stalin-led DMK-Congress combine",https://www.ndtv.com/assembly-tamil-nadu/tamil-nadu-assembly-election-in-tamil-nadu-epss-biggest-election-against-dmk-congress-kamal-haasan-2406855
"Over 20 Crore People From 4 States, 1 UT Vote Today: 10 Points","Over 20 crore people from Assam, Bengal, Kerala, Tamil Nadu and Puducherry will vote in a mammoth electoral exercise today. For the latter three this is the first and only phase of polling. It is Assam's third and final, while Bengal has five more.",https://www.ndtv.com/india-news/assembly-elections-over-20-crore-people-from-bengal-kerala-assam-tamil-nadu-and-puducherry-vote-today-2406892
India Likely To Make Available Less Number Of Vaccines Globally: Gavi,"India, which is experiencing a sudden rise in number of COVID-19 cases, is now likely to make available a smaller number of vaccines to the rest of the world, the head of the Global Alliance for Vaccines and Immunisation has said.",https://www.ndtv.com/india-news/india-likely-to-make-available-less-number-of-vaccines-globally-gavi-2406987
"General Bipin Rawat Visits Karnataka's Karwar Naval Base, Briefed About Project Seabird","Chief of Defence Staff, General Bipin Rawat visited Naval Base in Karwar on Monday and was briefed about the ongoing works under Project Seabird. Later, he interacted with officers and sailors at the station.",https://www.ndtv.com/india-news/general-bipin-rawat-visits-karnatakas-karwar-naval-base-briefed-about-project-seabird-2406986
"College Student Shot At, 3 Arrested: Delhi Police","Three persons were arrested for allegedly opening fire at a first-year college student in outer Delhi's Alipur area, police said on Monday.",https://www.ndtv.com/delhi-news/college-student-shot-at-3-arrested-delhi-police-2406980
"Bangladesh Protest Turns Violent, 3 Shot: Police","A protest over police enforcement of coronavirus restrictions in rural Bangladesh turned violent late Monday when a mob of demonstrators attacked a police station, with at least three people shot, police and a doctor said.",https://www.ndtv.com/world-news/bangladesh-protest-turns-violent-3-shot-police-2406979
"UK Has ""Significant Concerns"" Over Russian Activity On Ukraine Border","British Prime Minister Boris Johnson on Monday said the UK has ""significant concerns"" over Russian activity in the Crimea and on the Ukrainian border.",https://www.ndtv.com/world-news/uk-has-significant-concerns-over-russian-activity-on-ukraine-border-2406976
Kneeling On George Floyd's Neck Violated Policy: Minneapolis Police Chief,Minneapolis police chief Medaria Arradondo testified on Monday that police officer Derek Chauvin kneeling on George Floyd's neck violated the department's restraint policy.,https://www.ndtv.com/world-news/kneeling-on-george-floyds-neck-violated-policy-minneapolis-police-chief-2406975
"Jordan's Prince Vows Loyalty, King Accepts Mediation In Palace Row","Jordan's Prince Hamzah pledged loyalty to the king on Monday as the monarch accepted mediation over a rift within the royal family that saw the prince placed under house arrest, the palace said.",https://www.ndtv.com/world-news/jordans-prince-vows-loyalty-king-accepts-mediation-in-palace-row-2406973
Maharashtra Man Arrested For Posting Photos With Sword On Social Media,"A 27-year-old man was arrested in Latur in Maharashtra on Monday for posing with a sword and uploading the photographs on social media, police said.",https://www.ndtv.com/cities/maharashtra-man-arrested-for-posting-photos-with-sword-on-social-media-2406971
"Sonia Gandhi Urges Kerala To Defeat ""Divisive Forces, Authoritarian Leaders""","Congress president Sonia Gandhi on Monday urged the people of Kerala to vote for the United Democratic Front (UDF) alliance in the Assembly polls and ""defeat the divisive forces who polarise the society, and reject authoritarian leaders"".",https://www.ndtv.com/india-news/sonia-gandhi-urges-kerala-to-defeat-divisive-forces-authoritarian-leaders-2406969
